kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
205,1,145,7073,145,1,205,7073,144,1,2013,0,3,0,9,6,0,5,8,1180,4,10,69,1,13,0,0,15,1250,0
205,1,145,7073,145,1,205,7073,144,1,2013,0,3,0,9,6,0,5,8,1180,4,10,69,1,13,0,0,15,1250,0
834,1,527,6319,527,1,834,6319,524,1,973,0,3,0,28,6,19,13,8,2347,2,10,38,14,13,19,0,15,648,0
834,1,527,6319,527,1,834,6319,524,1,973,0,3,0,28,6,19,13,8,2347,2,10,38,14,13,19,0,15,648,0
431,2,279,6473,279,2,431,6473,275,1,472,0,3,0,32,6,0,8,8,1454,1,10,0,4,13,0,0,15,1090,0
238,1,132,5546,132,1,238,5546,131,1,1068,0,3,0,9,6,0,5,8,1832,2,10,76,1,13,0,0,15,763,2
238,1,132,5546,132,1,238,5546,131,1,1068,0,3,0,9,6,0,5,8,1832,2,10,76,1,13,0,0,15,763,2
376,1,236,6277,236,1,376,6277,236,1,847,0,3,0,23,6,0,3,8,932,3,10,169,6,13,0,1,15,720,0
376,1,236,6277,236,1,376,6277,236,1,847,0,3,0,23,6,0,3,8,932,3,10,169,6,13,0,1,15,720,0
107,1,67,6262,67,1,107,6262,67,1,746,0,3,0,4,6,0,3,8,2089,0,10,298,0,13,0,0,15,1044,0
107,1,67,6262,67,1,107,6262,67,1,746,0,3,0,4,6,0,3,8,2089,0,10,298,0,13,0,0,15,1044,0
695,2,460,6619,460,2,695,6619,460,1,543,0,3,0,32,6,0,20,8,1021,3,10,86,5,13,0,0,15,826,1
1 224,2,656,5359,655,2,1224,5359,655,1,824,0,3,0,42,6,0,21,8,931,5,10,61,11,13,15,2,15,870,0
178,1,111,6236,111,1,178,6236,111,1,810,1,3,0,9,6,0,6,8,270,0,10,270,1,13,0,0,15,900,1
178,1,111,6236,111,1,178,6236,111,1,810,1,3,0,9,6,0,6,8,270,0,10,270,1,13,0,0,15,900,1
331,1,208,6284,208,1,331,6284,206,1,291,0,3,0,24,6,0,6,8,1067,1,10,145,2,13,0,0,15,339,1
