kod,nazev,volici,obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
9 766,14,4289,4392,4284,14,9766,4392,4254,1,648,37,4,514,169,8,867,155,10,124,43,13,37,20,15,876
943,1,532,5642,532,1,943,5642,528,1,587,3,4,435,21,8,1761,3,10,189,6,13,0,0,15,984
943,1,532,5642,532,1,943,5642,528,1,587,3,4,435,21,8,1761,3,10,189,6,13,0,0,15,984
769,1,486,6320,486,1,769,6320,481,1,1018,2,4,457,42,8,644,2,10,62,6,13,0,0,15,1060
769,1,486,6320,486,1,769,6320,481,1,1018,2,4,457,42,8,644,2,10,62,6,13,0,0,15,1060
4 700,6,2905,6181,2903,6,4700,6181,2886,1,1178,7,4,599,122,8,710,36,10,93,29,13,17,22,15,1167
1 239,1,638,5149,638,1,1239,5149,626,1,591,1,4,463,25,8,1230,6,10,159,12,13,15,2,15,846
1 239,1,638,5149,638,1,1239,5149,626,1,591,1,4,463,25,8,1230,6,10,159,12,13,15,2,15,846
1 677,3,706,4210,706,3,1677,4210,698,1,587,3,4,830,12,8,1131,16,10,257,7,13,14,4,15,959
23 954,32,12225,5104,12218,32,23954,5104,12153,1,768,57,4,744,935,8,984,195,10,57,125,13,18,23,15,938
474,1,264,5570,264,1,474,5570,262,1,190,0,4,419,14,8,763,6,10,76,1,13,76,4,15,763
474,1,264,5570,264,1,474,5570,262,1,190,0,4,419,14,8,763,6,10,76,1,13,76,4,15,763
210,1,118,5619,118,1,210,5619,118,1,254,1,4,1440,9,8,1610,0,10,169,0,13,0,0,15,169
210,1,118,5619,118,1,210,5619,118,1,254,1,4,1440,9,8,1610,0,10,169,0,13,0,0,15,169
1 228,1,613,4992,613,1,1228,4992,608,1,805,5,4,756,19,8,1167,9,10,49,4,13,0,0,15,1332
1 228,1,613,4992,613,1,1228,4992,608,1,805,5,4,756,19,8,1167,9,10,49,4,13,0,0,15,1332
592,1,301,5084,300,1,592,5084,297,1,909,2,4,740,16,8,942,0,10,67,2,13,33,2,15,1313
592,1,301,5084,300,1,592,5084,297,1,909,2,4,740,16,8,942,0,10,67,2,13,33,2,15,1313
586,1,299,5102,299,1,586,5102,297,1,740,2,4,505,18,8,774,3,10,33,8,13,0,1,15,740
586,1,299,5102,299,1,586,5102,297,1,740,2,4,505,18,8,774,3,10,33,8,13,0,1,15,740
1 809,2,852,4710,852,2,1809,4710,843,1,581,2,4,925,34,8,747,10,10,177,4,13,118,1,15,818
10 572,17,5720,5411,5712,17,10572,5411,5675,1,1208,26,4,650,177,8,688,58,10,52,65,13,8,8,15,1843
244,1,82,3361,82,1,244,3361,82,1,243,0,4,975,4,8,487,0,10,0,0,13,0,0,15,365
244,1,82,3361,82,1,244,3361,82,1,243,0,4,975,4,8,487,0,10,0,0,13,0,0,15,365
223,1,141,6323,141,1,223,6323,141,1,1205,1,4,496,14,8,992,2,10,70,5,13,0,0,15,1063
223,1,141,6323,141,1,223,6323,141,1,1205,1,4,496,14,8,992,2,10,70,5,13,0,0,15,1063
335,1,137,4090,136,1,335,4090,135,1,296,0,4,370,4,8,1851,0,10,518,1,13,0,1,15,1703
